web_scraper_order,web_scraper_start_url,category-link-0,pagination-selector,Phish URL,Online?,phone,Submitted,Phish URL2,Submitted2,Valid?
"1764655509-1","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","","","","","","","",""
"1764655509-2","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","","added on Dec 2nd 2025 5:06 AM","ONLINE","9281274","Enforcement","https://novageracao.cfd/s5bq7hy5
added on Dec 2nd 2025 5:06 AM","by Enforcement",""
"1764655509-3","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","","added on Dec 2nd 2025 5:06 AM","ONLINE","9281273","Enforcement","https://pagprotect.shop/
added on Dec 2nd 2025 5:06 AM","by Enforcement",""
"1764655509-4","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","","added on Dec 2nd 2025 4:55 AM","VALID PHISH","9281272","dms","https://cqgzdjt.cn/Login/
added on Dec 2nd 2025 4:55 AM","by dms","VALID PHISH"
"1764655509-5","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","","added on Dec 2nd 2025 4:55 AM","VALID PHISH","9281271","dms","https://hnwydgw.cn/Login/
added on Dec 2nd 2025 4:55 AM","by dms","VALID PHISH"
"1764655509-6","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","","added on Dec 2nd 2025 4:55 AM","VALID PHISH","9281270","dms","https://hnwzdsm.cn/Login/
added on Dec 2nd 2025 4:55 AM","by dms","VALID PHISH"
"1764655509-7","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","","added on Dec 2nd 2025 4:55 AM","VALID PHISH","9281269","dms","https://hnyrbw.cn/Login/
added on Dec 2nd 2025 4:55 AM","by dms","VALID PHISH"
"1764655509-8","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","","added on Dec 2nd 2025 4:55 AM","VALID PHISH","9281268","dms","https://pziktx.cn/Login/
added on Dec 2nd 2025 4:55 AM","by dms","VALID PHISH"
"1764655509-9","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","","added on Dec 2nd 2025 4:55 AM","VALID PHISH","9281267","dms","https://zigxga.cn/Login/
added on Dec 2nd 2025 4:55 AM","by dms","VALID PHISH"
"1764655509-10","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","","added on Dec 2nd 2025 4:54 AM","VALID PHISH","9281266","dms","https://zuvyu.kinavo.cfd/9k1wc
added on Dec 2nd 2025 4:54 AM","by dms","VALID PHISH"
"1764655509-11","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","","added on Dec 2nd 2025 4:54 AM","VALID PHISH","9281265","dms","https://zixhm.kinavo.cfd/y7ay6
added on Dec 2nd 2025 4:54 AM","by dms","VALID PHISH"
